,fl_visit,place,ym
0,49.0,(NHM)_SOUTH_KENSINGTON,2014_01
1,56.0,(NHM)_SOUTH_KENSINGTON,2014_02
2,60.0,(NHM)_SOUTH_KENSINGTON,2014_03
3,56.0,(NHM)_SOUTH_KENSINGTON,2014_04
4,56.0,(NHM)_SOUTH_KENSINGTON,2014_05
5,37.0,(NHM)_SOUTH_KENSINGTON,2014_06
6,63.0,(NHM)_SOUTH_KENSINGTON,2014_07
7,78.0,(NHM)_SOUTH_KENSINGTON,2014_08
8,55.0,(NHM)_SOUTH_KENSINGTON,2014_09
9,53.0,(NHM)_SOUTH_KENSINGTON,2014_10
10,70.0,(NHM)_SOUTH_KENSINGTON,2014_11
11,50.0,(NHM)_SOUTH_KENSINGTON,2014_12
12,67.0,(NHM)_SOUTH_KENSINGTON,2015_01
13,58.0,(NHM)_SOUTH_KENSINGTON,2015_02
14,50.0,(NHM)_SOUTH_KENSINGTON,2015_03
15,60.0,(NHM)_SOUTH_KENSINGTON,2015_04
16,52.0,(NHM)_SOUTH_KENSINGTON,2015_05
17,58.0,(NHM)_SOUTH_KENSINGTON,2015_06
18,58.0,(NHM)_SOUTH_KENSINGTON,2015_07
19,56.0,(NHM)_SOUTH_KENSINGTON,2015_08
20,46.0,(NHM)_SOUTH_KENSINGTON,2015_09
21,40.0,(NHM)_SOUTH_KENSINGTON,2015_10
22,51.0,(NHM)_SOUTH_KENSINGTON,2015_11
23,56.0,(NHM)_SOUTH_KENSINGTON,2015_12
24,28.0,(NHM)_SOUTH_KENSINGTON,2016_01
25,37.0,(NHM)_SOUTH_KENSINGTON,2016_02
26,35.0,(NHM)_SOUTH_KENSINGTON,2016_03
27,42.0,(NHM)_SOUTH_KENSINGTON,2016_04
28,23.0,(NHM)_SOUTH_KENSINGTON,2016_05
29,35.0,(NHM)_SOUTH_KENSINGTON,2016_06
30,28.0,(NHM)_SOUTH_KENSINGTON,2016_07
31,21.0,(NHM)_SOUTH_KENSINGTON,2016_08
32,1.0,(NHM)_TRING,2014_01
33,0.0,(NHM)_TRING,2014_02
34,0.0,(NHM)_TRING,2014_03
35,0.0,(NHM)_TRING,2014_04
36,0.0,(NHM)_TRING,2014_05
37,1.0,(NHM)_TRING,2014_06
38,0.0,(NHM)_TRING,2014_07
39,1.0,(NHM)_TRING,2014_08
40,0.0,(NHM)_TRING,2014_09
41,1.0,(NHM)_TRING,2014_10
42,0.0,(NHM)_TRING,2014_11
43,1.0,(NHM)_TRING,2014_12
44,0.0,(NHM)_TRING,2015_01
45,0.0,(NHM)_TRING,2015_02
46,0.0,(NHM)_TRING,2015_03
47,0.0,(NHM)_TRING,2015_04
48,0.0,(NHM)_TRING,2015_05
49,0.0,(NHM)_TRING,2015_06
50,0.0,(NHM)_TRING,2015_07
51,2.0,(NHM)_TRING,2015_08
52,0.0,(NHM)_TRING,2015_09
53,0.0,(NHM)_TRING,2015_10
54,0.0,(NHM)_TRING,2015_11
55,0.0,(NHM)_TRING,2015_12
56,0.0,(NHM)_TRING,2016_01
57,1.0,(NHM)_TRING,2016_02
58,1.0,(NHM)_TRING,2016_03
59,1.0,(NHM)_TRING,2016_04
60,0.0,(NHM)_TRING,2016_05
61,0.0,(NHM)_TRING,2016_06
62,0.0,(NHM)_TRING,2016_07
63,0.0,(NHM)_TRING,2016_08
64,0.0,(RA)_FORT_NELSON,2014_01
65,0.0,(RA)_FORT_NELSON,2014_02
66,3.0,(RA)_FORT_NELSON,2014_03
67,2.0,(RA)_FORT_NELSON,2014_04
68,1.0,(RA)_FORT_NELSON,2014_05
69,0.0,(RA)_FORT_NELSON,2014_06
70,5.0,(RA)_FORT_NELSON,2014_07
71,2.0,(RA)_FORT_NELSON,2014_08
72,0.0,(RA)_FORT_NELSON,2014_09
73,1.0,(RA)_FORT_NELSON,2014_10
74,3.0,(RA)_FORT_NELSON,2014_11
75,1.0,(RA)_FORT_NELSON,2014_12
76,0.0,(RA)_FORT_NELSON,2015_01
77,1.0,(RA)_FORT_NELSON,2015_02
78,0.0,(RA)_FORT_NELSON,2015_03
79,0.0,(RA)_FORT_NELSON,2015_04
80,2.0,(RA)_FORT_NELSON,2015_05
81,1.0,(RA)_FORT_NELSON,2015_06
82,2.0,(RA)_FORT_NELSON,2015_07
83,1.0,(RA)_FORT_NELSON,2015_08
84,0.0,(RA)_FORT_NELSON,2015_09
85,1.0,(RA)_FORT_NELSON,2015_10
86,0.0,(RA)_FORT_NELSON,2015_11
87,1.0,(RA)_FORT_NELSON,2015_12
88,0.0,(RA)_FORT_NELSON,2016_01
89,1.0,(RA)_FORT_NELSON,2016_02
90,0.0,(RA)_FORT_NELSON,2016_03
91,1.0,(RA)_FORT_NELSON,2016_04
92,3.0,(RA)_FORT_NELSON,2016_05
93,0.0,(RA)_FORT_NELSON,2016_06
94,1.0,(RA)_FORT_NELSON,2016_07
95,0.0,(RA)_FORT_NELSON,2016_08
96,4.0,(RA)_LEEDS,2014_01
97,6.0,(RA)_LEEDS,2014_02
98,10.0,(RA)_LEEDS,2014_03
99,7.0,(RA)_LEEDS,2014_04
100,9.0,(RA)_LEEDS,2014_05
101,13.0,(RA)_LEEDS,2014_06
102,6.0,(RA)_LEEDS,2014_07
103,3.0,(RA)_LEEDS,2014_08
104,5.0,(RA)_LEEDS,2014_09
105,3.0,(RA)_LEEDS,2014_10
106,9.0,(RA)_LEEDS,2014_11
107,2.0,(RA)_LEEDS,2014_12
108,5.0,(RA)_LEEDS,2015_01
109,9.0,(RA)_LEEDS,2015_02
110,6.0,(RA)_LEEDS,2015_03
111,7.0,(RA)_LEEDS,2015_04
112,10.0,(RA)_LEEDS,2015_05
113,5.0,(RA)_LEEDS,2015_06
114,4.0,(RA)_LEEDS,2015_07
115,1.0,(RA)_LEEDS,2015_08
116,10.0,(RA)_LEEDS,2015_09
