,fl_visit,place,ym
0,42.0,(NHM)_SOUTH_KENSINGTON,2014_01
1,46.0,(NHM)_SOUTH_KENSINGTON,2014_02
2,47.0,(NHM)_SOUTH_KENSINGTON,2014_03
3,46.0,(NHM)_SOUTH_KENSINGTON,2014_04
4,40.0,(NHM)_SOUTH_KENSINGTON,2014_05
5,29.0,(NHM)_SOUTH_KENSINGTON,2014_06
6,47.0,(NHM)_SOUTH_KENSINGTON,2014_07
7,60.0,(NHM)_SOUTH_KENSINGTON,2014_08
8,39.0,(NHM)_SOUTH_KENSINGTON,2014_09
9,41.0,(NHM)_SOUTH_KENSINGTON,2014_10
10,53.0,(NHM)_SOUTH_KENSINGTON,2014_11
11,42.0,(NHM)_SOUTH_KENSINGTON,2014_12
12,50.0,(NHM)_SOUTH_KENSINGTON,2015_01
13,49.0,(NHM)_SOUTH_KENSINGTON,2015_02
14,42.0,(NHM)_SOUTH_KENSINGTON,2015_03
15,47.0,(NHM)_SOUTH_KENSINGTON,2015_04
16,42.0,(NHM)_SOUTH_KENSINGTON,2015_05
17,40.0,(NHM)_SOUTH_KENSINGTON,2015_06
18,44.0,(NHM)_SOUTH_KENSINGTON,2015_07
19,46.0,(NHM)_SOUTH_KENSINGTON,2015_08
20,37.0,(NHM)_SOUTH_KENSINGTON,2015_09
21,34.0,(NHM)_SOUTH_KENSINGTON,2015_10
22,32.0,(NHM)_SOUTH_KENSINGTON,2015_11
23,40.0,(NHM)_SOUTH_KENSINGTON,2015_12
24,17.0,(NHM)_SOUTH_KENSINGTON,2016_01
25,19.0,(NHM)_SOUTH_KENSINGTON,2016_02
26,27.0,(NHM)_SOUTH_KENSINGTON,2016_03
27,25.0,(NHM)_SOUTH_KENSINGTON,2016_04
28,14.0,(NHM)_SOUTH_KENSINGTON,2016_05
29,27.0,(NHM)_SOUTH_KENSINGTON,2016_06
30,23.0,(NHM)_SOUTH_KENSINGTON,2016_07
31,15.0,(NHM)_SOUTH_KENSINGTON,2016_08
32,1.0,(NHM)_TRING,2014_01
33,0.0,(NHM)_TRING,2014_02
34,0.0,(NHM)_TRING,2014_03
35,0.0,(NHM)_TRING,2014_04
36,0.0,(NHM)_TRING,2014_05
37,0.0,(NHM)_TRING,2014_06
38,0.0,(NHM)_TRING,2014_07
39,1.0,(NHM)_TRING,2014_08
40,0.0,(NHM)_TRING,2014_09
41,0.0,(NHM)_TRING,2014_10
42,0.0,(NHM)_TRING,2014_11
43,1.0,(NHM)_TRING,2014_12
44,0.0,(NHM)_TRING,2015_01
45,0.0,(NHM)_TRING,2015_02
46,0.0,(NHM)_TRING,2015_03
47,0.0,(NHM)_TRING,2015_04
48,0.0,(NHM)_TRING,2015_05
49,0.0,(NHM)_TRING,2015_06
50,0.0,(NHM)_TRING,2015_07
51,0.0,(NHM)_TRING,2015_08
52,0.0,(NHM)_TRING,2015_09
53,0.0,(NHM)_TRING,2015_10
54,0.0,(NHM)_TRING,2015_11
55,0.0,(NHM)_TRING,2015_12
56,0.0,(NHM)_TRING,2016_01
57,1.0,(NHM)_TRING,2016_02
58,1.0,(NHM)_TRING,2016_03
59,1.0,(NHM)_TRING,2016_04
60,0.0,(NHM)_TRING,2016_05
61,0.0,(NHM)_TRING,2016_06
62,0.0,(NHM)_TRING,2016_07
63,0.0,(NHM)_TRING,2016_08
64,0.0,(RA)_FORT_NELSON,2014_01
65,0.0,(RA)_FORT_NELSON,2014_02
66,0.0,(RA)_FORT_NELSON,2014_03
67,2.0,(RA)_FORT_NELSON,2014_04
68,1.0,(RA)_FORT_NELSON,2014_05
69,0.0,(RA)_FORT_NELSON,2014_06
70,4.0,(RA)_FORT_NELSON,2014_07
71,2.0,(RA)_FORT_NELSON,2014_08
72,0.0,(RA)_FORT_NELSON,2014_09
73,0.0,(RA)_FORT_NELSON,2014_10
74,2.0,(RA)_FORT_NELSON,2014_11
75,1.0,(RA)_FORT_NELSON,2014_12
76,0.0,(RA)_FORT_NELSON,2015_01
77,0.0,(RA)_FORT_NELSON,2015_02
78,0.0,(RA)_FORT_NELSON,2015_03
79,0.0,(RA)_FORT_NELSON,2015_04
80,1.0,(RA)_FORT_NELSON,2015_05
