,fl_visit,place,ym
0,46.0,(NHM)_SOUTH_KENSINGTON,2014_01
1,53.0,(NHM)_SOUTH_KENSINGTON,2014_02
2,58.0,(NHM)_SOUTH_KENSINGTON,2014_03
3,54.0,(NHM)_SOUTH_KENSINGTON,2014_04
4,49.0,(NHM)_SOUTH_KENSINGTON,2014_05
5,34.0,(NHM)_SOUTH_KENSINGTON,2014_06
6,60.0,(NHM)_SOUTH_KENSINGTON,2014_07
7,71.0,(NHM)_SOUTH_KENSINGTON,2014_08
8,50.0,(NHM)_SOUTH_KENSINGTON,2014_09
9,49.0,(NHM)_SOUTH_KENSINGTON,2014_10
10,62.0,(NHM)_SOUTH_KENSINGTON,2014_11
11,46.0,(NHM)_SOUTH_KENSINGTON,2014_12
12,56.0,(NHM)_SOUTH_KENSINGTON,2015_01
13,55.0,(NHM)_SOUTH_KENSINGTON,2015_02
14,50.0,(NHM)_SOUTH_KENSINGTON,2015_03
15,55.0,(NHM)_SOUTH_KENSINGTON,2015_04
16,49.0,(NHM)_SOUTH_KENSINGTON,2015_05
17,45.0,(NHM)_SOUTH_KENSINGTON,2015_06
18,53.0,(NHM)_SOUTH_KENSINGTON,2015_07
19,52.0,(NHM)_SOUTH_KENSINGTON,2015_08
20,43.0,(NHM)_SOUTH_KENSINGTON,2015_09
21,37.0,(NHM)_SOUTH_KENSINGTON,2015_10
22,41.0,(NHM)_SOUTH_KENSINGTON,2015_11
23,46.0,(NHM)_SOUTH_KENSINGTON,2015_12
24,22.0,(NHM)_SOUTH_KENSINGTON,2016_01
25,26.0,(NHM)_SOUTH_KENSINGTON,2016_02
26,30.0,(NHM)_SOUTH_KENSINGTON,2016_03
27,36.0,(NHM)_SOUTH_KENSINGTON,2016_04
28,17.0,(NHM)_SOUTH_KENSINGTON,2016_05
29,32.0,(NHM)_SOUTH_KENSINGTON,2016_06
30,25.0,(NHM)_SOUTH_KENSINGTON,2016_07
31,20.0,(NHM)_SOUTH_KENSINGTON,2016_08
32,1.0,(NHM)_TRING,2014_01
33,0.0,(NHM)_TRING,2014_02
34,0.0,(NHM)_TRING,2014_03
35,0.0,(NHM)_TRING,2014_04
36,0.0,(NHM)_TRING,2014_05
37,0.0,(NHM)_TRING,2014_06
38,0.0,(NHM)_TRING,2014_07
39,1.0,(NHM)_TRING,2014_08
40,0.0,(NHM)_TRING,2014_09
41,1.0,(NHM)_TRING,2014_10
42,0.0,(NHM)_TRING,2014_11
43,1.0,(NHM)_TRING,2014_12
44,0.0,(NHM)_TRING,2015_01
45,0.0,(NHM)_TRING,2015_02
