,fl_visit,place,ym
0,8.0,Acadia_NP_(ACAD),2014_01
1,4.0,Acadia_NP_(ACAD),2014_02
2,1.0,Acadia_NP_(ACAD),2014_03
3,1.0,Acadia_NP_(ACAD),2014_04
4,12.0,Acadia_NP_(ACAD),2014_05
5,49.0,Acadia_NP_(ACAD),2014_06
6,69.0,Acadia_NP_(ACAD),2014_07
7,87.0,Acadia_NP_(ACAD),2014_08
8,61.0,Acadia_NP_(ACAD),2014_09
9,81.0,Acadia_NP_(ACAD),2014_10
10,3.0,Acadia_NP_(ACAD),2014_11
11,1.0,Acadia_NP_(ACAD),2014_12
12,4.0,Acadia_NP_(ACAD),2015_01
13,1.0,Acadia_NP_(ACAD),2015_02
14,2.0,Acadia_NP_(ACAD),2015_03
15,2.0,Acadia_NP_(ACAD),2015_04
16,21.0,Acadia_NP_(ACAD),2015_05
17,68.0,Acadia_NP_(ACAD),2015_06
18,76.0,Acadia_NP_(ACAD),2015_07
19,45.0,Acadia_NP_(ACAD),2015_08
20,61.0,Acadia_NP_(ACAD),2015_09
21,48.0,Acadia_NP_(ACAD),2015_10
22,3.0,Acadia_NP_(ACAD),2015_11
23,1.0,Acadia_NP_(ACAD),2015_12
24,3.0,Acadia_NP_(ACAD),2016_01
25,2.0,Acadia_NP_(ACAD),2016_02
26,3.0,Acadia_NP_(ACAD),2016_03
27,10.0,Acadia_NP_(ACAD),2016_04
28,24.0,Acadia_NP_(ACAD),2016_05
29,56.0,Acadia_NP_(ACAD),2016_06
30,48.0,Acadia_NP_(ACAD),2016_07
31,45.0,Acadia_NP_(ACAD),2016_08
32,0.0,Adams_NHP,2014_01
33,0.0,Adams_NHP,2014_02
34,0.0,Adams_NHP,2014_03
35,0.0,Adams_NHP,2014_04
36,1.0,Adams_NHP,2014_05
37,0.0,Adams_NHP,2014_06
38,0.0,Adams_NHP,2014_07
39,1.0,Adams_NHP,2014_08
40,0.0,Adams_NHP,2014_09
41,1.0,Adams_NHP,2014_10
42,0.0,Adams_NHP,2014_11
43,0.0,Adams_NHP,2014_12
44,0.0,Adams_NHP,2015_01
45,0.0,Adams_NHP,2015_02
46,0.0,Adams_NHP,2015_03
47,0.0,Adams_NHP,2015_04
48,0.0,Adams_NHP,2015_05
49,0.0,Adams_NHP,2015_06
