,place,tw_visit,ym
0,(NHM)_SOUTH_KENSINGTON,901.0,2014_01
1,(NHM)_SOUTH_KENSINGTON,1000.0,2014_02
2,(NHM)_SOUTH_KENSINGTON,962.0,2014_03
3,(NHM)_SOUTH_KENSINGTON,875.0,2014_04
4,(NHM)_SOUTH_KENSINGTON,848.0,2014_05
5,(NHM)_SOUTH_KENSINGTON,896.0,2014_06
6,(NHM)_SOUTH_KENSINGTON,883.0,2014_07
7,(NHM)_SOUTH_KENSINGTON,910.0,2014_08
8,(NHM)_SOUTH_KENSINGTON,724.0,2014_09
9,(NHM)_SOUTH_KENSINGTON,797.0,2014_10
10,(NHM)_SOUTH_KENSINGTON,865.0,2014_11
11,(NHM)_SOUTH_KENSINGTON,837.0,2014_12
12,(NHM)_SOUTH_KENSINGTON,735.0,2015_01
13,(NHM)_SOUTH_KENSINGTON,792.0,2015_02
14,(NHM)_SOUTH_KENSINGTON,818.0,2015_03
15,(NHM)_SOUTH_KENSINGTON,719.0,2015_04
16,(NHM)_SOUTH_KENSINGTON,455.0,2015_05
17,(NHM)_SOUTH_KENSINGTON,467.0,2015_06
18,(NHM)_SOUTH_KENSINGTON,481.0,2015_07
19,(NHM)_SOUTH_KENSINGTON,535.0,2015_08
20,(NHM)_SOUTH_KENSINGTON,547.0,2015_09
21,(NHM)_SOUTH_KENSINGTON,541.0,2015_10
22,(NHM)_SOUTH_KENSINGTON,657.0,2015_11
23,(NHM)_SOUTH_KENSINGTON,596.0,2015_12
24,(NHM)_SOUTH_KENSINGTON,470.0,2016_01
25,(NHM)_SOUTH_KENSINGTON,446.0,2016_02
26,(NHM)_SOUTH_KENSINGTON,426.0,2016_03
27,(NHM)_SOUTH_KENSINGTON,458.0,2016_04
28,(NHM)_SOUTH_KENSINGTON,317.0,2016_05
29,(NHM)_SOUTH_KENSINGTON,362.0,2016_06
30,(NHM)_SOUTH_KENSINGTON,410.0,2016_07
31,(NHM)_SOUTH_KENSINGTON,393.0,2016_08
32,(NHM)_TRING,14.0,2014_01
33,(NHM)_TRING,7.0,2014_02
34,(NHM)_TRING,9.0,2014_03
35,(NHM)_TRING,12.0,2014_04
36,(NHM)_TRING,19.0,2014_05
37,(NHM)_TRING,26.0,2014_06
38,(NHM)_TRING,12.0,2014_07
39,(NHM)_TRING,22.0,2014_08
40,(NHM)_TRING,19.0,2014_09
41,(NHM)_TRING,5.0,2014_10
42,(NHM)_TRING,14.0,2014_11
43,(NHM)_TRING,19.0,2014_12
44,(NHM)_TRING,21.0,2015_01
45,(NHM)_TRING,7.0,2015_02
46,(NHM)_TRING,6.0,2015_03
47,(NHM)_TRING,8.0,2015_04
48,(NHM)_TRING,4.0,2015_05
49,(NHM)_TRING,11.0,2015_06
50,(NHM)_TRING,10.0,2015_07
51,(NHM)_TRING,8.0,2015_08
52,(NHM)_TRING,16.0,2015_09
53,(NHM)_TRING,8.0,2015_10
54,(NHM)_TRING,3.0,2015_11
55,(NHM)_TRING,7.0,2015_12
56,(NHM)_TRING,2.0,2016_01
57,(NHM)_TRING,4.0,2016_02
58,(NHM)_TRING,5.0,2016_03
59,(NHM)_TRING,6.0,2016_04
60,(NHM)_TRING,0.0,2016_05
61,(NHM)_TRING,0.0,2016_06
62,(NHM)_TRING,1.0,2016_07
63,(NHM)_TRING,4.0,2016_08
64,(RA)_FORT_NELSON,2.0,2014_02
65,(RA)_FORT_NELSON,2.0,2014_03
66,(RA)_FORT_NELSON,3.0,2014_04
67,(RA)_FORT_NELSON,2.0,2014_05
68,(RA)_FORT_NELSON,1.0,2014_06
69,(RA)_FORT_NELSON,0.0,2014_07
70,(RA)_FORT_NELSON,4.0,2014_08
71,(RA)_FORT_NELSON,3.0,2014_09
72,(RA)_FORT_NELSON,1.0,2014_10
73,(RA)_FORT_NELSON,1.0,2014_11
74,(RA)_FORT_NELSON,0.0,2014_12
75,(RA)_FORT_NELSON,1.0,2015_01
76,(RA)_FORT_NELSON,2.0,2015_02
77,(RA)_FORT_NELSON,1.0,2015_03
78,(RA)_FORT_NELSON,2.0,2015_04
79,(RA)_FORT_NELSON,1.0,2015_05
80,(RA)_FORT_NELSON,3.0,2015_06
81,(RA)_FORT_NELSON,0.0,2015_07
82,(RA)_FORT_NELSON,2.0,2015_08
83,(RA)_FORT_NELSON,2.0,2015_09
84,(RA)_FORT_NELSON,3.0,2015_10
85,(RA)_FORT_NELSON,2.0,2015_11
86,(RA)_FORT_NELSON,0.0,2015_12
87,(RA)_FORT_NELSON,2.0,2016_01
88,(RA)_FORT_NELSON,2.0,2016_02
89,(RA)_FORT_NELSON,0.0,2016_03
90,(RA)_FORT_NELSON,4.0,2016_04
91,(RA)_FORT_NELSON,3.0,2016_05
92,(RA)_FORT_NELSON,1.0,2016_06
93,(RA)_FORT_NELSON,5.0,2016_07
94,(RA)_FORT_NELSON,1.0,2016_08
95,(RA)_LEEDS,220.0,2014_01
96,(RA)_LEEDS,221.0,2014_02
97,(RA)_LEEDS,212.0,2014_03
98,(RA)_LEEDS,213.0,2014_04
99,(RA)_LEEDS,271.0,2014_05
100,(RA)_LEEDS,264.0,2014_06
101,(RA)_LEEDS,175.0,2014_07
102,(RA)_LEEDS,173.0,2014_08
103,(RA)_LEEDS,191.0,2014_09
104,(RA)_LEEDS,137.0,2014_10
105,(RA)_LEEDS,231.0,2014_11
106,(RA)_LEEDS,128.0,2014_12
107,(RA)_LEEDS,118.0,2015_01
108,(RA)_LEEDS,154.0,2015_02
109,(RA)_LEEDS,191.0,2015_03
110,(RA)_LEEDS,176.0,2015_04
111,(RA)_LEEDS,73.0,2015_05
112,(RA)_LEEDS,71.0,2015_06
113,(RA)_LEEDS,61.0,2015_07
114,(RA)_LEEDS,74.0,2015_08
115,(RA)_LEEDS,71.0,2015_09
116,(RA)_LEEDS,66.0,2015_10
117,(RA)_LEEDS,101.0,2015_11
118,(RA)_LEEDS,58.0,2015_12
119,(RA)_LEEDS,62.0,2016_01
120,(RA)_LEEDS,45.0,2016_02
121,(RA)_LEEDS,70.0,2016_03
122,(RA)_LEEDS,94.0,2016_04
123,(RA)_LEEDS,86.0,2016_05
124,(RA)_LEEDS,88.0,2016_06
125,(RA)_LEEDS,78.0,2016_07
126,(RA)_LEEDS,74.0,2016_08
127,(RA)_WHITE_TOWER,329.0,2014_01
128,(RA)_WHITE_TOWER,318.0,2014_02
129,(RA)_WHITE_TOWER,398.0,2014_03
130,(RA)_WHITE_TOWER,382.0,2014_04
131,(RA)_WHITE_TOWER,265.0,2014_05
132,(RA)_WHITE_TOWER,263.0,2014_06
133,(RA)_WHITE_TOWER,281.0,2014_07
134,(RA)_WHITE_TOWER,439.0,2014_08
135,(RA)_WHITE_TOWER,309.0,2014_09
136,(RA)_WHITE_TOWER,426.0,2014_10
137,(RA)_WHITE_TOWER,421.0,2014_11
138,(RA)_WHITE_TOWER,181.0,2014_12
139,(RA)_WHITE_TOWER,335.0,2015_01
140,(RA)_WHITE_TOWER,334.0,2015_02
141,(RA)_WHITE_TOWER,475.0,2015_03
142,(RA)_WHITE_TOWER,515.0,2015_04
143,(RA)_WHITE_TOWER,463.0,2015_05
144,(RA)_WHITE_TOWER,395.0,2015_06
145,(RA)_WHITE_TOWER,439.0,2015_07
146,(RA)_WHITE_TOWER,415.0,2015_08
147,(RA)_WHITE_TOWER,410.0,2015_09
148,(RA)_WHITE_TOWER,417.0,2015_10
149,(RA)_WHITE_TOWER,365.0,2015_11
150,(RA)_WHITE_TOWER,328.0,2015_12
151,(RA)_WHITE_TOWER,319.0,2016_01
152,(RA)_WHITE_TOWER,333.0,2016_02
153,(RA)_WHITE_TOWER,373.0,2016_03
154,(RA)_WHITE_TOWER,255.0,2016_04
155,(RA)_WHITE_TOWER,232.0,2016_05
156,(RA)_WHITE_TOWER,338.0,2016_06
157,(RA)_WHITE_TOWER,412.0,2016_07
158,(RA)_WHITE_TOWER,390.0,2016_08
159,(V&A)_BLYTHE_HOUSE,47.0,2014_01
160,(V&A)_BLYTHE_HOUSE,61.0,2014_02
161,(V&A)_BLYTHE_HOUSE,61.0,2014_03
162,(V&A)_BLYTHE_HOUSE,54.0,2014_04
163,(V&A)_BLYTHE_HOUSE,45.0,2014_05
164,(V&A)_BLYTHE_HOUSE,101.0,2014_06
165,(V&A)_BLYTHE_HOUSE,88.0,2014_07
166,(V&A)_BLYTHE_HOUSE,77.0,2014_08
167,(V&A)_BLYTHE_HOUSE,80.0,2014_09
168,(V&A)_BLYTHE_HOUSE,101.0,2014_10
169,(V&A)_BLYTHE_HOUSE,73.0,2014_11
170,(V&A)_BLYTHE_HOUSE,45.0,2014_12
171,(V&A)_BLYTHE_HOUSE,56.0,2015_01
172,(V&A)_BLYTHE_HOUSE,83.0,2015_02
173,(V&A)_BLYTHE_HOUSE,80.0,2015_03
174,(V&A)_BLYTHE_HOUSE,73.0,2015_04
175,(V&A)_BLYTHE_HOUSE,23.0,2015_05
176,(V&A)_BLYTHE_HOUSE,22.0,2015_06
177,(V&A)_BLYTHE_HOUSE,15.0,2015_07
178,(V&A)_BLYTHE_HOUSE,22.0,2015_08
179,(V&A)_BLYTHE_HOUSE,23.0,2015_09
180,(V&A)_BLYTHE_HOUSE,13.0,2015_10
181,(V&A)_BLYTHE_HOUSE,18.0,2015_11
182,(V&A)_BLYTHE_HOUSE,9.0,2015_12
183,(V&A)_BLYTHE_HOUSE,3.0,2016_01
184,(V&A)_BLYTHE_HOUSE,8.0,2016_02
185,(V&A)_BLYTHE_HOUSE,17.0,2016_03
186,(V&A)_BLYTHE_HOUSE,33.0,2016_04
187,(V&A)_BLYTHE_HOUSE,14.0,2016_05
188,(V&A)_BLYTHE_HOUSE,12.0,2016_06
189,(V&A)_BLYTHE_HOUSE,19.0,2016_07
190,(V&A)_BLYTHE_HOUSE,7.0,2016_08
191,(V&A)_CHILDHOOD,146.0,2014_01
192,(V&A)_CHILDHOOD,144.0,2014_02
