,place,tw_visit,ym
0,(NHM)_SOUTH_KENSINGTON,480.0,2014_01
1,(NHM)_SOUTH_KENSINGTON,509.0,2014_02
2,(NHM)_SOUTH_KENSINGTON,518.0,2014_03
3,(NHM)_SOUTH_KENSINGTON,489.0,2014_04
4,(NHM)_SOUTH_KENSINGTON,486.0,2014_05
5,(NHM)_SOUTH_KENSINGTON,514.0,2014_06
6,(NHM)_SOUTH_KENSINGTON,500.0,2014_07
7,(NHM)_SOUTH_KENSINGTON,531.0,2014_08
8,(NHM)_SOUTH_KENSINGTON,375.0,2014_09
9,(NHM)_SOUTH_KENSINGTON,437.0,2014_10
10,(NHM)_SOUTH_KENSINGTON,548.0,2014_11
11,(NHM)_SOUTH_KENSINGTON,622.0,2014_12
12,(NHM)_SOUTH_KENSINGTON,525.0,2015_01
13,(NHM)_SOUTH_KENSINGTON,538.0,2015_02
14,(NHM)_SOUTH_KENSINGTON,499.0,2015_03
15,(NHM)_SOUTH_KENSINGTON,503.0,2015_04
16,(NHM)_SOUTH_KENSINGTON,340.0,2015_05
17,(NHM)_SOUTH_KENSINGTON,383.0,2015_06
18,(NHM)_SOUTH_KENSINGTON,399.0,2015_07
19,(NHM)_SOUTH_KENSINGTON,441.0,2015_08
20,(NHM)_SOUTH_KENSINGTON,464.0,2015_09
21,(NHM)_SOUTH_KENSINGTON,495.0,2015_10
22,(NHM)_SOUTH_KENSINGTON,598.0,2015_11
23,(NHM)_SOUTH_KENSINGTON,533.0,2015_12
24,(NHM)_SOUTH_KENSINGTON,410.0,2016_01
25,(NHM)_SOUTH_KENSINGTON,395.0,2016_02
26,(NHM)_SOUTH_KENSINGTON,370.0,2016_03
27,(NHM)_SOUTH_KENSINGTON,407.0,2016_04
28,(NHM)_SOUTH_KENSINGTON,275.0,2016_05
29,(NHM)_SOUTH_KENSINGTON,326.0,2016_06
30,(NHM)_SOUTH_KENSINGTON,365.0,2016_07
31,(NHM)_SOUTH_KENSINGTON,362.0,2016_08
32,(NHM)_TRING,1.0,2014_01
33,(NHM)_TRING,2.0,2014_02
34,(NHM)_TRING,0.0,2014_03
35,(NHM)_TRING,3.0,2014_04
36,(NHM)_TRING,2.0,2014_05
37,(NHM)_TRING,2.0,2014_06
38,(NHM)_TRING,2.0,2014_07
39,(NHM)_TRING,3.0,2014_08
40,(NHM)_TRING,2.0,2014_09
41,(NHM)_TRING,1.0,2014_10
42,(NHM)_TRING,1.0,2014_11
43,(NHM)_TRING,2.0,2014_12
