,place,tw_visit,ym
0,(NHM)_SOUTH_KENSINGTON,525.0,2014_01
1,(NHM)_SOUTH_KENSINGTON,547.0,2014_02
2,(NHM)_SOUTH_KENSINGTON,563.0,2014_03
3,(NHM)_SOUTH_KENSINGTON,524.0,2014_04
4,(NHM)_SOUTH_KENSINGTON,529.0,2014_05
5,(NHM)_SOUTH_KENSINGTON,559.0,2014_06
6,(NHM)_SOUTH_KENSINGTON,542.0,2014_07
7,(NHM)_SOUTH_KENSINGTON,567.0,2014_08
8,(NHM)_SOUTH_KENSINGTON,420.0,2014_09
9,(NHM)_SOUTH_KENSINGTON,476.0,2014_10
10,(NHM)_SOUTH_KENSINGTON,591.0,2014_11
11,(NHM)_SOUTH_KENSINGTON,632.0,2014_12
12,(NHM)_SOUTH_KENSINGTON,538.0,2015_01
13,(NHM)_SOUTH_KENSINGTON,556.0,2015_02
14,(NHM)_SOUTH_KENSINGTON,518.0,2015_03
15,(NHM)_SOUTH_KENSINGTON,524.0,2015_04
16,(NHM)_SOUTH_KENSINGTON,354.0,2015_05
17,(NHM)_SOUTH_KENSINGTON,386.0,2015_06
18,(NHM)_SOUTH_KENSINGTON,403.0,2015_07
19,(NHM)_SOUTH_KENSINGTON,450.0,2015_08
20,(NHM)_SOUTH_KENSINGTON,473.0,2015_09
21,(NHM)_SOUTH_KENSINGTON,498.0,2015_10
22,(NHM)_SOUTH_KENSINGTON,600.0,2015_11
23,(NHM)_SOUTH_KENSINGTON,535.0,2015_12
24,(NHM)_SOUTH_KENSINGTON,413.0,2016_01
25,(NHM)_SOUTH_KENSINGTON,401.0,2016_02
26,(NHM)_SOUTH_KENSINGTON,373.0,2016_03
27,(NHM)_SOUTH_KENSINGTON,413.0,2016_04
28,(NHM)_SOUTH_KENSINGTON,277.0,2016_05
29,(NHM)_SOUTH_KENSINGTON,327.0,2016_06
30,(NHM)_SOUTH_KENSINGTON,366.0,2016_07
31,(NHM)_SOUTH_KENSINGTON,362.0,2016_08
32,(NHM)_TRING,2.0,2014_01
33,(NHM)_TRING,2.0,2014_02
34,(NHM)_TRING,2.0,2014_03
35,(NHM)_TRING,4.0,2014_04
36,(NHM)_TRING,4.0,2014_05
37,(NHM)_TRING,3.0,2014_06
38,(NHM)_TRING,2.0,2014_07
39,(NHM)_TRING,4.0,2014_08
40,(NHM)_TRING,3.0,2014_09
41,(NHM)_TRING,4.0,2014_10
42,(NHM)_TRING,4.0,2014_11
43,(NHM)_TRING,3.0,2014_12
44,(NHM)_TRING,3.0,2015_01
45,(NHM)_TRING,2.0,2015_02
46,(NHM)_TRING,2.0,2015_03
47,(NHM)_TRING,4.0,2015_04
48,(NHM)_TRING,2.0,2015_05
49,(NHM)_TRING,2.0,2015_06
50,(NHM)_TRING,2.0,2015_07
51,(NHM)_TRING,2.0,2015_08
52,(NHM)_TRING,3.0,2015_09
53,(NHM)_TRING,7.0,2015_10
54,(NHM)_TRING,3.0,2015_11
55,(NHM)_TRING,3.0,2015_12
56,(NHM)_TRING,2.0,2016_01
57,(NHM)_TRING,4.0,2016_02
58,(NHM)_TRING,5.0,2016_03
59,(NHM)_TRING,6.0,2016_04
60,(NHM)_TRING,0.0,2016_05
61,(NHM)_TRING,0.0,2016_06
62,(NHM)_TRING,1.0,2016_07
63,(NHM)_TRING,4.0,2016_08
64,(RA)_FORT_NELSON,1.0,2014_02
65,(RA)_FORT_NELSON,1.0,2014_03
66,(RA)_FORT_NELSON,2.0,2014_04
67,(RA)_FORT_NELSON,1.0,2014_05
68,(RA)_FORT_NELSON,1.0,2014_06
69,(RA)_FORT_NELSON,0.0,2014_07
70,(RA)_FORT_NELSON,2.0,2014_08
71,(RA)_FORT_NELSON,1.0,2014_09
72,(RA)_FORT_NELSON,1.0,2014_10
73,(RA)_FORT_NELSON,0.0,2014_11
74,(RA)_FORT_NELSON,0.0,2014_12
75,(RA)_FORT_NELSON,1.0,2015_01
76,(RA)_FORT_NELSON,1.0,2015_02
77,(RA)_FORT_NELSON,1.0,2015_03
78,(RA)_FORT_NELSON,2.0,2015_04
79,(RA)_FORT_NELSON,1.0,2015_05
80,(RA)_FORT_NELSON,3.0,2015_06
81,(RA)_FORT_NELSON,0.0,2015_07
82,(RA)_FORT_NELSON,2.0,2015_08
83,(RA)_FORT_NELSON,1.0,2015_09
84,(RA)_FORT_NELSON,2.0,2015_10
85,(RA)_FORT_NELSON,2.0,2015_11
86,(RA)_FORT_NELSON,0.0,2015_12
87,(RA)_FORT_NELSON,2.0,2016_01
88,(RA)_FORT_NELSON,2.0,2016_02
89,(RA)_FORT_NELSON,0.0,2016_03
90,(RA)_FORT_NELSON,2.0,2016_04
91,(RA)_FORT_NELSON,1.0,2016_05
92,(RA)_FORT_NELSON,1.0,2016_06
93,(RA)_FORT_NELSON,2.0,2016_07
94,(RA)_FORT_NELSON,1.0,2016_08
95,(RA)_LEEDS,10.0,2014_01
96,(RA)_LEEDS,25.0,2014_02
97,(RA)_LEEDS,23.0,2014_03
98,(RA)_LEEDS,22.0,2014_04
99,(RA)_LEEDS,55.0,2014_05
100,(RA)_LEEDS,34.0,2014_06
101,(RA)_LEEDS,11.0,2014_07
102,(RA)_LEEDS,15.0,2014_08
103,(RA)_LEEDS,23.0,2014_09
104,(RA)_LEEDS,10.0,2014_10
105,(RA)_LEEDS,40.0,2014_11
106,(RA)_LEEDS,21.0,2014_12
107,(RA)_LEEDS,24.0,2015_01
108,(RA)_LEEDS,23.0,2015_02
109,(RA)_LEEDS,24.0,2015_03
110,(RA)_LEEDS,43.0,2015_04
111,(RA)_LEEDS,16.0,2015_05
112,(RA)_LEEDS,20.0,2015_06
113,(RA)_LEEDS,9.0,2015_07
114,(RA)_LEEDS,26.0,2015_08
115,(RA)_LEEDS,18.0,2015_09
116,(RA)_LEEDS,22.0,2015_10
117,(RA)_LEEDS,41.0,2015_11
118,(RA)_LEEDS,19.0,2015_12
119,(RA)_LEEDS,24.0,2016_01
120,(RA)_LEEDS,22.0,2016_02
121,(RA)_LEEDS,29.0,2016_03
122,(RA)_LEEDS,27.0,2016_04
123,(RA)_LEEDS,37.0,2016_05
124,(RA)_LEEDS,23.0,2016_06
125,(RA)_LEEDS,21.0,2016_07
126,(RA)_LEEDS,29.0,2016_08
127,(RA)_WHITE_TOWER,202.0,2014_01
128,(RA)_WHITE_TOWER,199.0,2014_02
129,(RA)_WHITE_TOWER,236.0,2014_03
130,(RA)_WHITE_TOWER,194.0,2014_04
131,(RA)_WHITE_TOWER,122.0,2014_05
132,(RA)_WHITE_TOWER,88.0,2014_06
133,(RA)_WHITE_TOWER,99.0,2014_07
134,(RA)_WHITE_TOWER,189.0,2014_08
135,(RA)_WHITE_TOWER,110.0,2014_09
136,(RA)_WHITE_TOWER,134.0,2014_10
137,(RA)_WHITE_TOWER,177.0,2014_11
138,(RA)_WHITE_TOWER,58.0,2014_12
139,(RA)_WHITE_TOWER,45.0,2015_01
140,(RA)_WHITE_TOWER,37.0,2015_02
141,(RA)_WHITE_TOWER,67.0,2015_03
142,(RA)_WHITE_TOWER,76.0,2015_04
143,(RA)_WHITE_TOWER,82.0,2015_05
144,(RA)_WHITE_TOWER,49.0,2015_06
145,(RA)_WHITE_TOWER,71.0,2015_07
146,(RA)_WHITE_TOWER,63.0,2015_08
147,(RA)_WHITE_TOWER,55.0,2015_09
148,(RA)_WHITE_TOWER,59.0,2015_10
149,(RA)_WHITE_TOWER,48.0,2015_11
150,(RA)_WHITE_TOWER,43.0,2015_12
151,(RA)_WHITE_TOWER,43.0,2016_01
152,(RA)_WHITE_TOWER,28.0,2016_02
153,(RA)_WHITE_TOWER,29.0,2016_03
154,(RA)_WHITE_TOWER,174.0,2016_04
155,(RA)_WHITE_TOWER,215.0,2016_05
156,(RA)_WHITE_TOWER,286.0,2016_06
157,(RA)_WHITE_TOWER,375.0,2016_07
158,(RA)_WHITE_TOWER,331.0,2016_08
159,(V&A)_BLYTHE_HOUSE,1.0,2014_02
160,(V&A)_BLYTHE_HOUSE,0.0,2014_03
161,(V&A)_BLYTHE_HOUSE,1.0,2014_04
162,(V&A)_BLYTHE_HOUSE,0.0,2014_05
163,(V&A)_BLYTHE_HOUSE,2.0,2014_06
164,(V&A)_BLYTHE_HOUSE,0.0,2014_07
165,(V&A)_BLYTHE_HOUSE,3.0,2014_08
166,(V&A)_BLYTHE_HOUSE,1.0,2014_09
167,(V&A)_BLYTHE_HOUSE,1.0,2014_10
168,(V&A)_BLYTHE_HOUSE,2.0,2014_11
169,(V&A)_BLYTHE_HOUSE,0.0,2014_12
170,(V&A)_BLYTHE_HOUSE,2.0,2015_01
171,(V&A)_BLYTHE_HOUSE,3.0,2015_02
172,(V&A)_BLYTHE_HOUSE,3.0,2015_03
173,(V&A)_BLYTHE_HOUSE,0.0,2015_04
174,(V&A)_BLYTHE_HOUSE,1.0,2015_05
175,(V&A)_BLYTHE_HOUSE,1.0,2015_06
176,(V&A)_BLYTHE_HOUSE,0.0,2015_07
177,(V&A)_BLYTHE_HOUSE,0.0,2015_08
178,(V&A)_BLYTHE_HOUSE,6.0,2015_09
179,(V&A)_BLYTHE_HOUSE,1.0,2015_10
180,(V&A)_BLYTHE_HOUSE,4.0,2015_11
181,(V&A)_BLYTHE_HOUSE,0.0,2015_12
182,(V&A)_BLYTHE_HOUSE,0.0,2016_01
183,(V&A)_BLYTHE_HOUSE,0.0,2016_02
184,(V&A)_BLYTHE_HOUSE,5.0,2016_03
185,(V&A)_BLYTHE_HOUSE,3.0,2016_04
186,(V&A)_BLYTHE_HOUSE,4.0,2016_05
187,(V&A)_BLYTHE_HOUSE,3.0,2016_06
188,(V&A)_BLYTHE_HOUSE,5.0,2016_07
189,(V&A)_BLYTHE_HOUSE,2.0,2016_08
190,(V&A)_CHILDHOOD,13.0,2014_01
191,(V&A)_CHILDHOOD,7.0,2014_02
192,(V&A)_CHILDHOOD,9.0,2014_03
193,(V&A)_CHILDHOOD,13.0,2014_04
194,(V&A)_CHILDHOOD,21.0,2014_05
195,(V&A)_CHILDHOOD,8.0,2014_06
196,(V&A)_CHILDHOOD,14.0,2014_07
197,(V&A)_CHILDHOOD,12.0,2014_08
198,(V&A)_CHILDHOOD,21.0,2014_09
199,(V&A)_CHILDHOOD,9.0,2014_10
200,(V&A)_CHILDHOOD,16.0,2014_11
201,(V&A)_CHILDHOOD,15.0,2014_12
202,(V&A)_CHILDHOOD,16.0,2015_01
203,(V&A)_CHILDHOOD,11.0,2015_02
204,(V&A)_CHILDHOOD,20.0,2015_03
205,(V&A)_CHILDHOOD,17.0,2015_04
206,(V&A)_CHILDHOOD,24.0,2015_05
207,(V&A)_CHILDHOOD,15.0,2015_06
208,(V&A)_CHILDHOOD,10.0,2015_07
209,(V&A)_CHILDHOOD,10.0,2015_08
210,(V&A)_CHILDHOOD,11.0,2015_09
211,(V&A)_CHILDHOOD,13.0,2015_10
212,(V&A)_CHILDHOOD,12.0,2015_11
213,(V&A)_CHILDHOOD,5.0,2015_12
214,(V&A)_CHILDHOOD,11.0,2016_01
215,(V&A)_CHILDHOOD,15.0,2016_02
216,(V&A)_CHILDHOOD,22.0,2016_03
217,(V&A)_CHILDHOOD,31.0,2016_04
218,(V&A)_CHILDHOOD,24.0,2016_05
219,(V&A)_CHILDHOOD,22.0,2016_06
220,(V&A)_CHILDHOOD,33.0,2016_07
221,(V&A)_CHILDHOOD,37.0,2016_08
222,(V&A)_SOUTH_KENSINGTON,399.0,2014_01
223,(V&A)_SOUTH_KENSINGTON,377.0,2014_02
224,(V&A)_SOUTH_KENSINGTON,305.0,2014_03
225,(V&A)_SOUTH_KENSINGTON,419.0,2014_04
226,(V&A)_SOUTH_KENSINGTON,386.0,2014_05
227,(V&A)_SOUTH_KENSINGTON,301.0,2014_06
228,(V&A)_SOUTH_KENSINGTON,414.0,2014_07
229,(V&A)_SOUTH_KENSINGTON,339.0,2014_08
230,(V&A)_SOUTH_KENSINGTON,581.0,2014_09
231,(V&A)_SOUTH_KENSINGTON,417.0,2014_10
232,(V&A)_SOUTH_KENSINGTON,386.0,2014_11
233,(V&A)_SOUTH_KENSINGTON,248.0,2014_12
234,(V&A)_SOUTH_KENSINGTON,371.0,2015_01
235,(V&A)_SOUTH_KENSINGTON,348.0,2015_02
236,(V&A)_SOUTH_KENSINGTON,744.0,2015_03
237,(V&A)_SOUTH_KENSINGTON,621.0,2015_04
238,(V&A)_SOUTH_KENSINGTON,573.0,2015_05
239,(V&A)_SOUTH_KENSINGTON,540.0,2015_06
240,(V&A)_SOUTH_KENSINGTON,642.0,2015_07
241,(V&A)_SOUTH_KENSINGTON,428.0,2015_08
242,(V&A)_SOUTH_KENSINGTON,543.0,2015_09
243,(V&A)_SOUTH_KENSINGTON,427.0,2015_10
244,(V&A)_SOUTH_KENSINGTON,352.0,2015_11
245,(V&A)_SOUTH_KENSINGTON,241.0,2015_12
246,(V&A)_SOUTH_KENSINGTON,361.0,2016_01
247,(V&A)_SOUTH_KENSINGTON,343.0,2016_02
248,(V&A)_SOUTH_KENSINGTON,345.0,2016_03
249,(V&A)_SOUTH_KENSINGTON,348.0,2016_04
250,(V&A)_SOUTH_KENSINGTON,272.0,2016_05
251,(V&A)_SOUTH_KENSINGTON,349.0,2016_06
252,(V&A)_SOUTH_KENSINGTON,378.0,2016_07
