,place,tw_visit,ym
0,Acadia_NP_(ACAD),34.0,2014_01
1,Acadia_NP_(ACAD),17.0,2014_02
2,Acadia_NP_(ACAD),26.0,2014_03
3,Acadia_NP_(ACAD),31.0,2014_04
4,Acadia_NP_(ACAD),66.0,2014_05
5,Acadia_NP_(ACAD),125.0,2014_06
6,Acadia_NP_(ACAD),243.0,2014_07
7,Acadia_NP_(ACAD),269.0,2014_08
8,Acadia_NP_(ACAD),144.0,2014_09
9,Acadia_NP_(ACAD),108.0,2014_10
10,Acadia_NP_(ACAD),18.0,2014_11
11,Acadia_NP_(ACAD),14.0,2014_12
12,Acadia_NP_(ACAD),22.0,2015_01
13,Acadia_NP_(ACAD),15.0,2015_02
14,Acadia_NP_(ACAD),23.0,2015_03
15,Acadia_NP_(ACAD),22.0,2015_04
16,Acadia_NP_(ACAD),105.0,2015_05
17,Acadia_NP_(ACAD),175.0,2015_06
18,Acadia_NP_(ACAD),313.0,2015_07
19,Acadia_NP_(ACAD),408.0,2015_08
20,Acadia_NP_(ACAD),308.0,2015_09
21,Acadia_NP_(ACAD),289.0,2015_10
22,Acadia_NP_(ACAD),104.0,2015_11
23,Acadia_NP_(ACAD),45.0,2015_12
24,Acadia_NP_(ACAD),72.0,2016_01
25,Acadia_NP_(ACAD),71.0,2016_02
26,Acadia_NP_(ACAD),42.0,2016_03
27,Acadia_NP_(ACAD),69.0,2016_04
28,Acadia_NP_(ACAD),133.0,2016_05
29,Acadia_NP_(ACAD),270.0,2016_06
30,Acadia_NP_(ACAD),475.0,2016_07
31,Acadia_NP_(ACAD),487.0,2016_08
32,Adams_NHP,2.0,2014_01
33,Adams_NHP,1.0,2014_02
34,Adams_NHP,2.0,2014_03
35,Adams_NHP,2.0,2014_04
36,Adams_NHP,4.0,2014_05
37,Adams_NHP,1.0,2014_06
38,Adams_NHP,7.0,2014_07
39,Adams_NHP,6.0,2014_08
40,Adams_NHP,4.0,2014_09
41,Adams_NHP,1.0,2014_10
42,Adams_NHP,2.0,2014_11
43,Adams_NHP,0.0,2014_12
44,Adams_NHP,0.0,2015_01
45,Adams_NHP,0.0,2015_02
46,Adams_NHP,0.0,2015_03
47,Adams_NHP,2.0,2015_04
48,Adams_NHP,0.0,2015_05
49,Adams_NHP,1.0,2015_06
50,Adams_NHP,1.0,2015_07
51,Adams_NHP,1.0,2015_08
52,Adams_NHP,1.0,2015_09
53,Adams_NHP,0.0,2015_10
54,Adams_NHP,0.0,2015_11
55,Adams_NHP,0.0,2015_12
56,Adams_NHP,0.0,2016_01
57,Adams_NHP,0.0,2016_02
58,Adams_NHP,1.0,2016_03
59,Adams_NHP,0.0,2016_04
60,Adams_NHP,0.0,2016_05
61,Adams_NHP,2.0,2016_06
62,Adams_NHP,0.0,2016_07
63,Adams_NHP,0.0,2016_08
64,Agate_Fossil_Beds_NM,1.0,2014_07
65,Agate_Fossil_Beds_NM,0.0,2014_08
66,Agate_Fossil_Beds_NM,0.0,2014_09
67,Agate_Fossil_Beds_NM,0.0,2014_10
68,Agate_Fossil_Beds_NM,0.0,2014_11
69,Agate_Fossil_Beds_NM,0.0,2014_12
