,place,ym,gt_visit
13,BRITISH_MUSEUM,2004_04,403841.0
14,BRITISH_MUSEUM,2004_05,367435.0
15,BRITISH_MUSEUM,2004_06,352583.0
16,BRITISH_MUSEUM,2004_07,504251.0
17,BRITISH_MUSEUM,2004_08,490457.0
18,BRITISH_MUSEUM,2004_09,360254.0
19,BRITISH_MUSEUM,2004_10,455236.0
20,BRITISH_MUSEUM,2004_11,387258.0
21,BRITISH_MUSEUM,2004_12,396783.0
22,BRITISH_MUSEUM,2005_01,327033.0
23,BRITISH_MUSEUM,2005_02,367113.0
24,BRITISH_MUSEUM,2005_03,365956.0
26,GEFFRYE_MUSEUM,2004_04,6599.0
27,GEFFRYE_MUSEUM,2004_05,6742.0
28,GEFFRYE_MUSEUM,2004_06,5517.0
29,GEFFRYE_MUSEUM,2004_07,6431.0
30,GEFFRYE_MUSEUM,2004_08,5998.0
31,GEFFRYE_MUSEUM,2004_09,6823.0
32,GEFFRYE_MUSEUM,2004_10,6988.0
33,GEFFRYE_MUSEUM,2004_11,5681.0
34,GEFFRYE_MUSEUM,2004_12,10897.0
35,GEFFRYE_MUSEUM,2005_01,5226.0
36,GEFFRYE_MUSEUM,2005_02,6728.0
37,GEFFRYE_MUSEUM,2005_03,6329.0
39,HORNIMAN_MUSEUM,2004_04,29082.0
40,HORNIMAN_MUSEUM,2004_05,26920.0
41,HORNIMAN_MUSEUM,2004_06,26292.0
42,HORNIMAN_MUSEUM,2004_07,30754.0
43,HORNIMAN_MUSEUM,2004_08,37070.0
44,HORNIMAN_MUSEUM,2004_09,23037.0
45,HORNIMAN_MUSEUM,2004_10,27200.0
46,HORNIMAN_MUSEUM,2004_11,17325.0
47,HORNIMAN_MUSEUM,2004_12,16560.0
48,HORNIMAN_MUSEUM,2005_01,18877.0
49,HORNIMAN_MUSEUM,2005_02,27225.0
50,HORNIMAN_MUSEUM,2005_03,23086.0
52,IWM_TOTAL,2004_04,186892.0
53,IWM_TOTAL,2004_05,169107.0
54,IWM_TOTAL,2004_06,210462.0
55,IWM_TOTAL,2004_07,222688.0
56,IWM_TOTAL,2004_08,205298.0
57,IWM_TOTAL,2004_09,158664.0
58,IWM_TOTAL,2004_10,201526.0
59,IWM_TOTAL,2004_11,130950.0
60,IWM_TOTAL,2004_12,100653.0
61,IWM_TOTAL,2005_01,104452.0
62,IWM_TOTAL,2005_02,163933.0
63,IWM_TOTAL,2005_03,201821.0
65,IWM_LONDON,2004_04,70530.0
66,IWM_LONDON,2004_05,58580.0
67,IWM_LONDON,2004_06,64736.0
68,IWM_LONDON,2004_07,65119.0
69,IWM_LONDON,2004_08,66071.0
70,IWM_LONDON,2004_09,48592.0
71,IWM_LONDON,2004_10,80006.0
72,IWM_LONDON,2004_11,56455.0
73,IWM_LONDON,2004_12,43751.0
74,IWM_LONDON,2005_01,51090.0
75,IWM_LONDON,2005_02,71992.0
76,IWM_LONDON,2005_03,87948.0
78,HMS_BELFAST_(IWM),2004_04,30355.0
79,HMS_BELFAST_(IWM),2004_05,26034.0
80,HMS_BELFAST_(IWM),2004_06,26483.0
81,HMS_BELFAST_(IWM),2004_07,28530.0
82,HMS_BELFAST_(IWM),2004_08,32272.0
83,HMS_BELFAST_(IWM),2004_09,15851.0
84,HMS_BELFAST_(IWM),2004_10,28287.0
85,HMS_BELFAST_(IWM),2004_11,14718.0
86,HMS_BELFAST_(IWM),2004_12,16279.0
87,HMS_BELFAST_(IWM),2005_01,12008.0
88,HMS_BELFAST_(IWM),2005_02,21783.0
89,HMS_BELFAST_(IWM),2005_03,25907.0
91,CHURCHILL_WAR_ROOMS_(IWM),2004_04,26901.0
92,CHURCHILL_WAR_ROOMS_(IWM),2004_05,29425.0
93,CHURCHILL_WAR_ROOMS_(IWM),2004_06,32888.0
94,CHURCHILL_WAR_ROOMS_(IWM),2004_07,33188.0
95,CHURCHILL_WAR_ROOMS_(IWM),2004_08,25519.0
96,CHURCHILL_WAR_ROOMS_(IWM),2004_09,22152.0
97,CHURCHILL_WAR_ROOMS_(IWM),2004_10,27311.0
98,CHURCHILL_WAR_ROOMS_(IWM),2004_11,19658.0
99,CHURCHILL_WAR_ROOMS_(IWM),2004_12,18486.0
100,CHURCHILL_WAR_ROOMS_(IWM),2005_01,15247.0
101,CHURCHILL_WAR_ROOMS_(IWM),2005_02,31124.0
102,CHURCHILL_WAR_ROOMS_(IWM),2005_03,40156.0
104,IWM_DUXFORD,2004_04,34062.0
105,IWM_DUXFORD,2004_05,35908.0
106,IWM_DUXFORD,2004_06,65702.0
107,IWM_DUXFORD,2004_07,72777.0
108,IWM_DUXFORD,2004_08,54248.0
109,IWM_DUXFORD,2004_09,54686.0
110,IWM_DUXFORD,2004_10,40298.0
111,IWM_DUXFORD,2004_11,22943.0
112,IWM_DUXFORD,2004_12,10114.0
113,IWM_DUXFORD,2005_01,11387.0
114,IWM_DUXFORD,2005_02,17839.0
115,IWM_DUXFORD,2005_03,23985.0
117,IWM_NORTH,2004_04,25044.0
118,IWM_NORTH,2004_05,19160.0
119,IWM_NORTH,2004_06,20653.0
120,IWM_NORTH,2004_07,23074.0
121,IWM_NORTH,2004_08,27188.0
122,IWM_NORTH,2004_09,17383.0
123,IWM_NORTH,2004_10,25624.0
124,IWM_NORTH,2004_11,17176.0
125,IWM_NORTH,2004_12,12023.0
126,IWM_NORTH,2005_01,14720.0
127,IWM_NORTH,2005_02,21195.0
128,IWM_NORTH,2005_03,23825.0
130,NATIONAL_GALLERY,2004_04,437000.0
131,NATIONAL_GALLERY,2004_05,391000.0
132,NATIONAL_GALLERY,2004_06,319000.0
133,NATIONAL_GALLERY,2004_07,460000.0
134,NATIONAL_GALLERY,2004_08,443000.0
135,NATIONAL_GALLERY,2004_09,325000.0
136,NATIONAL_GALLERY,2004_10,425000.0
137,NATIONAL_GALLERY,2004_11,448000.0
138,NATIONAL_GALLERY,2004_12,410000.0
139,NATIONAL_GALLERY,2005_01,402000.0
140,NATIONAL_GALLERY,2005_02,342000.0
141,NATIONAL_GALLERY,2005_03,507000.0
143,NHM_TOTAL,2004_04,334563.0
144,NHM_TOTAL,2004_05,224639.0
145,NHM_TOTAL,2004_06,241971.0
146,NHM_TOTAL,2004_07,346481.0
147,NHM_TOTAL,2004_08,444688.0
148,NHM_TOTAL,2004_09,215577.0
149,NHM_TOTAL,2004_10,328146.0
150,NHM_TOTAL,2004_11,192761.0
151,NHM_TOTAL,2004_12,187571.0
152,NHM_TOTAL,2005_01,223862.0
153,NHM_TOTAL,2005_02,284144.0
154,NHM_TOTAL,2005_03,304075.0
156,(NHM)_SOUTH_KENSINGTON,2004_04,325140.0
157,(NHM)_SOUTH_KENSINGTON,2004_05,218407.0
158,(NHM)_SOUTH_KENSINGTON,2004_06,236144.0
159,(NHM)_SOUTH_KENSINGTON,2004_07,339329.0
