,place,area
0,(NHM)_SOUTH_KENSINGTON,54246.7047061
1,(NHM)_TRING,1584.02038241
2,(RA)_FORT_NELSON,43000.1946705
3,(RA)_LEEDS,4601.34966315
4,(RA)_WHITE_TOWER,1230.06766871
5,(V&A)_BLYTHE_HOUSE,5742.36518912
6,(V&A)_CHILDHOOD,2216.73653907
7,(V&A)_SOUTH_KENSINGTON,33935.5102058
8,BRITISH_MUSEUM,33355.5568023
9,CHURCHILL_WAR_ROOMS_(IWM),19263.5171109
10,GEFFRYE_MUSEUM,698.200965928
11,HMS_BELFAST_(IWM),3057.73683023
12,HORNIMAN_MUSEUM,2912.62584134
13,IWM_DUXFORD,992194.809882
14,IWM_NORTH,11672.2787674
15,NATIONAL_COAL_MINING_MUSEUM,2195.86626644
16,NATIONAL_GALLERY,12112.9180506
17,NATIONAL_PORTRAIT_GALLERY,3973.32967768
18,ROYAL_MUSEUMS_GREENWICH,69729.1062051
19,SCIENCE_AND_INDUSTRY_MANCHESTER,25422.1236497
20,SCIENCE_LOCOMOTION_SHILDON,7232.90348653
21,SCIENCE_NATIONAL_MEDIA_MUSEUM,6940.1719476
22,SCIENCE_SOUTH_KENSINGTON,11607.6155424
23,SIR_JOHN_SOANES,168.865877581
24,TATE_BRITAIN,12502.4660908
25,TATE_LIVERPOOL,11633.5994273
26,TATE_MODERN,11411.4955781
27,TATE_ST_IVES,1279.50482119
28,WALLACE_COLLECTION,2088.91130113
