,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17
TOTAL_April, - , - , - , - ,"3,312,345","3,637,402","3,767,428","3,540,568","4,838,882","4,464,545","4,585,324","4,267,921","3,935,260"
TOTAL_May, - , - , - , - ,"3,285,391","3,442,322","3,654,154","3,247,811","3,771,395","4,338,696","4,453,059","4,344,120","3,596,330"
TOTAL_June, - , - , - , - ,"3,034,749","3,148,834","3,364,215","3,449,439","4,044,061","3,986,776","4,086,691","3,866,905","3,958,769"
TOTAL_July, - , - , - , - ,"3,969,339","4,143,547","4,416,491","4,653,890","4,109,281","4,868,366","4,957,581","4,948,244","4,770,127"
TOTAL_August, - , - , - , - ,"4,861,537","4,699,363","5,130,433","4,944,777","4,495,382","5,340,599","5,902,931","5,051,715", - 
TOTAL_September, - , - , - , - ,"2,850,841","3,015,932","3,156,509","3,222,540","3,664,683","3,700,262","3,796,009","3,569,734", - 
TOTAL_October, - , - , - , - ,"3,636,199","3,785,852","4,100,724","4,013,545","4,110,254","4,144,185","4,508,231","4,125,852", - 
TOTAL_November, - , - , - , - ,"2,931,706","2,996,818","3,071,627","2,989,311","3,521,885","3,385,428","3,695,648","3,282,863", - 
TOTAL_December, - , - , - , - ,"2,499,800","2,722,890","2,463,997","2,895,227","3,054,901","3,123,180","3,338,681","2,996,851", - 
TOTAL_January, - , - , - , - ,"2,785,923","2,880,185","3,024,445","3,180,980","3,020,211","3,314,726","3,491,444","3,172,008", - 
TOTAL_February, - , - , - , - ,"3,153,752","3,486,113","3,534,827","3,722,433","3,897,802","4,092,236","3,931,629","3,846,220", - 
TOTAL_March, - , - , - , - ,"3,346,689","3,490,065","3,440,533","3,643,451","4,482,450","4,068,545","4,093,317","4,148,090", - 
TOTAL_FY_Total,"35,691,099","33,621,875","38,561,305","39,492,574","39,668,271","41,449,323","43,125,383","43,503,972","47,011,187","48,827,544","50,840,545","47,620,523","16,260,486"
BRITISH_MUSEUM_April,"403,841","372,676","431,430","400,735","455,743","508,408","513,323","495,739","579,873","644,605","641,259","600,774","530,029"
BRITISH_MUSEUM_May,"367,435","414,362","443,157","431,701","448,441","471,666","539,734","485,629","462,164","660,497","654,228","635,393","568,317"
BRITISH_MUSEUM_June,"352,583","390,743","442,917","401,792","389,540","460,450","461,935","526,789","457,906","579,950","596,527","601,099","567,555"
BRITISH_MUSEUM_July,"504,251","400,081","484,378","470,926","552,341","567,216","601,719","663,409","493,439","747,936","698,550","765,877","689,401"
BRITISH_MUSEUM_August,"490,457","359,917","473,701","500,509","582,018","549,704","596,630","617,343","480,136","739,711","702,997","717,386", - 
BRITISH_MUSEUM_September,"360,254","320,651","363,569","481,784","443,478","416,677","432,671","444,345","443,538","555,727","498,386","520,716", - 
BRITISH_MUSEUM_October,"455,236","405,798","399,860","555,695","526,540","499,376","490,251","494,480","491,908","533,444","586,248","624,066", - 
BRITISH_MUSEUM_November,"387,258","365,994","354,909","509,191","384,757","384,851","430,562","342,734","415,935","410,312","425,550","483,800", - 
