,place,area
0,Acadia_NP_(ACAD),159092739.989
1,Adams_NHP,17647.3099085
2,African_Burial_Ground_NM_(AFBG),1373.04299146
3,Agate_Fossil_Beds_NM,11732846.3683
4,Alibates_Flint_Quarries_NM_(ALFL),5578203.04643
5,Allegheny_Portage_Railroad_NHS_(ALPO),304910.139995
6,Andersonville_NHS_(ANDE),2044381.18631
7,Aniakchak_NM_&_PRES_(ANIA),1409971754.53
8,Antietam_NB_(ANTI),7719013.50449
9,Appomattox_Court_House_NHP_(APCO),5899875.4682
10,Arches_NP_(ARCH),308739979.913
11,Arkansas_Post_NMEM_(ARPO),2139591.19094
12,Arlington_House_The_R.E._Lee_MEM_(ARHO),711.726278885
13,Assateague_Island_NS_(ASIS),203457987.96
14,Aztec_Ruins_NM_(AZRU),1281496.95404
15,Badlands_NP_(BADL),981082925.877
16,Bandelier_NM_(BAND),136405182.163
17,Bent's_Old_Fort_NHS_(BEOL),3318668.75598
18,Bering_Land_Bridge_NPRES_(BELA),11269248309.0
19,Big_Bend_NP_(BIBE),3189320252.74
20,Big_Cypress_NPRES_(BICY),2949936818.56
21,Big_Hole_NB_(BIHO),3955480.97259
22,Big_South_Fork_NRRA_(BISO),495727413.36
23,Bighorn_Canyon_NRA,261073020.349
24,Biscayne_NP,631807768.888
25,Black_Canyon_of_the_Gunnison_NP,126890133.781
26,Blue_Ridge_PKWY,314832879.324
27,Brown_v._Board_of_Education_NHS,1191.25076382
28,Brown_v._Board_of_Education_NHS_[larger],5416.46661488
29,Bryce_Canyon_NP,145634061.778
30,Buck_Island_Reef_NM,693355.717321
31,Buffalo_NR,376483902.432
32,Cabrillo_NM,647533.337842
33,Canyon_de_Chelly_NM,373774406.891
34,Canyonlands_NP,1339740992.91
35,Cape_Cod_NS,170682848.449
