,place,Year,month,gt_visit,ym
0,San_Juan_NHS,2016,01,137822,2016_01
1,San_Juan_NHS,2015,01,132257,2015_01
2,San_Juan_NHS,2014,01,123294,2014_01
3,San_Juan_NHS,2013,01,120434,2013_01
4,Abraham_Lincoln_Birthplace_NHP_(ABLI),2016,01,5955,2016_01
5,Abraham_Lincoln_Birthplace_NHP_(ABLI),2015,01,3486,2015_01
6,Abraham_Lincoln_Birthplace_NHP_(ABLI),2014,01,2954,2014_01
7,Abraham_Lincoln_Birthplace_NHP_(ABLI),2013,01,4063,2013_01
8,Acadia_NP_(ACAD),2016,01,17204,2016_01
9,Acadia_NP_(ACAD),2015,01,12578,2015_01
10,Acadia_NP_(ACAD),2014,01,10459,2014_01
11,Acadia_NP_(ACAD),2013,01,11249,2013_01
12,Adams_NHP,2016,01,303,2016_01
13,Adams_NHP,2015,01,201,2015_01
14,Adams_NHP,2014,01,268,2014_01
15,Adams_NHP,2013,01,493,2013_01
16,African_Burial_Ground_NM_(AFBG),2016,01,885,2016_01
17,African_Burial_Ground_NM_(AFBG),2015,01,773,2015_01
18,African_Burial_Ground_NM_(AFBG),2014,01,941,2014_01
19,African_Burial_Ground_NM_(AFBG),2013,01,4680,2013_01
20,Agate_Fossil_Beds_NM,2016,01,79,2016_01
21,Agate_Fossil_Beds_NM,2015,01,102,2015_01
22,Agate_Fossil_Beds_NM,2014,01,118,2014_01
23,Agate_Fossil_Beds_NM,2013,01,126,2013_01
24,Alibates_Flint_Quarries_NM_(ALFL),2016,01,192,2016_01
25,Alibates_Flint_Quarries_NM_(ALFL),2015,01,43,2015_01
26,Alibates_Flint_Quarries_NM_(ALFL),2014,01,62,2014_01
27,Alibates_Flint_Quarries_NM_(ALFL),2013,01,35,2013_01
28,Allegheny_Portage_Railroad_NHS_(ALPO),2016,01,9748,2016_01
29,Allegheny_Portage_Railroad_NHS_(ALPO),2015,01,8997,2015_01
30,Allegheny_Portage_Railroad_NHS_(ALPO),2014,01,9540,2014_01
31,Allegheny_Portage_Railroad_NHS_(ALPO),2013,01,6372,2013_01
32,Amistad_NRA_(AMIS),2016,01,57410,2016_01
33,Amistad_NRA_(AMIS),2015,01,51947,2015_01
34,Amistad_NRA_(AMIS),2014,01,68555,2014_01
35,Amistad_NRA_(AMIS),2013,01,88743,2013_01
36,Andersonville_NHS_(ANDE),2016,01,6777,2016_01
37,Andersonville_NHS_(ANDE),2015,01,7900,2015_01
38,Andersonville_NHS_(ANDE),2014,01,5725,2014_01
39,Andersonville_NHS_(ANDE),2013,01,6953,2013_01
40,Andrew_Johnson_NHS,2016,01,1813,2016_01
41,Andrew_Johnson_NHS,2015,01,2407,2015_01
42,Andrew_Johnson_NHS,2014,01,1943,2014_01
43,Andrew_Johnson_NHS,2013,01,2759,2013_01
44,Aniakchak_NM_&_PRES_(ANIA),2016,01,0,2016_01
45,Aniakchak_NM_&_PRES_(ANIA),2015,01,0,2015_01
46,Aniakchak_NM_&_PRES_(ANIA),2014,01,0,2014_01
47,Aniakchak_NM_&_PRES_(ANIA),2013,01,0,2013_01
48,Antietam_NB_(ANTI),2016,01,5906,2016_01
49,Antietam_NB_(ANTI),2015,01,6878,2015_01
50,Antietam_NB_(ANTI),2014,01,4841,2014_01
51,Antietam_NB_(ANTI),2013,01,936,2013_01
52,Apostle_Islands_NL_(APIS),2016,01,1705,2016_01
53,Apostle_Islands_NL_(APIS),2015,01,1831,2015_01
54,Apostle_Islands_NL_(APIS),2014,01,12824,2014_01
55,Apostle_Islands_NL_(APIS),2013,01,1712,2013_01
56,Appomattox_Court_House_NHP_(APCO),2016,01,3831,2016_01
57,Appomattox_Court_House_NHP_(APCO),2015,01,4603,2015_01
58,Appomattox_Court_House_NHP_(APCO),2014,01,3883,2014_01
59,Appomattox_Court_House_NHP_(APCO),2013,01,5058,2013_01
60,Arches_NP_(ARCH),2016,01,20311,2016_01
61,Arches_NP_(ARCH),2015,01,20699,2015_01
62,Arches_NP_(ARCH),2014,01,17038,2014_01
63,Arches_NP_(ARCH),2013,01,11099,2013_01
64,Arkansas_Post_NMEM_(ARPO),2016,01,1516,2016_01
65,Arkansas_Post_NMEM_(ARPO),2015,01,2409,2015_01
66,Arkansas_Post_NMEM_(ARPO),2014,01,1413,2014_01
67,Arkansas_Post_NMEM_(ARPO),2013,01,3500,2013_01
68,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016,01,11520,2016_01
69,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015,01,9852,2015_01
70,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014,01,9111,2014_01
71,Arlington_House_The_R.E._Lee_MEM_(ARHO),2013,01,23372,2013_01
72,Assateague_Island_NS_(ASIS),2016,01,51098,2016_01
73,Assateague_Island_NS_(ASIS),2015,01,38582,2015_01
74,Assateague_Island_NS_(ASIS),2014,01,27027,2014_01
75,Assateague_Island_NS_(ASIS),2013,01,38560,2013_01
76,Aztec_Ruins_NM_(AZRU),2016,01,955,2016_01
77,Aztec_Ruins_NM_(AZRU),2015,01,1203,2015_01
78,Aztec_Ruins_NM_(AZRU),2014,01,1086,2014_01
79,Aztec_Ruins_NM_(AZRU),2013,01,687,2013_01
80,Badlands_NP_(BADL),2016,01,10826,2016_01
81,Badlands_NP_(BADL),2015,01,10414,2015_01
82,Badlands_NP_(BADL),2014,01,9548,2014_01
