place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
San Juan NHS,"2,016","137,822","134,978","186,127","142,728","98,370","120,556","150,113","106,860","63,282",,,,"1,140,836"
,2015,"132,257","118,086","180,833","136,261","118,705","139,429","166,917","114,631","68,521","86,236","113,496","157,446","1,532,818"
,2014,"123,294","103,523","165,171","124,584","99,057","119,504","154,819","119,204","63,682","60,008","99,413","150,647","1,382,906"
,2013,"120,434","120,731","169,908","111,917","97,344","116,626","148,049","113,722","63,835","37,303","90,516","138,417","1,328,802"
,,,,,,,,,,,,,,
Abraham Lincoln Birthplace NHP (ABLI),2016,"5,955","5,721","13,005","23,676","23,891","29,233","52,771","38,461","21,779",,,,"214,492"
,2015,"3,486","2,625","6,552","13,507","15,904","20,274","23,214","18,854","16,516","13,930","8,712","5,031","148,605"
,2014,"2,954","4,645","9,564","20,110","31,790","40,058","45,598","34,672","24,368","18,777","5,400","3,328","241,264"
,2013,"4,063","3,518","10,482","12,302","19,672","25,736","28,815","21,662","21,228","3,930","8,544","3,976","163,928"
,,,,,,,,,,,,,,
Acadia NP (ACAD),2016,"17,204","16,530","28,121","94,199","217,147","445,410","696,854","735,945","-3,211",,,,"2,248,199"
,2015,"12,578","10,626","18,062","63,214","187,205","359,661","606,597","666,767","479,320","344,362","48,912","13,880","2,811,184"
,2014,"10,459","10,258","17,502","57,211","153,013","338,845","561,073","638,152","418,173","313,920","31,013","13,510","2,563,129"
,2013,"11,249","9,869","20,631","47,090","133,653","315,791","555,308","617,306","400,400","94,904","41,181","7,540","2,254,922"
,,,,,,,,,,,,,,
Adams NHP,2016,303,"1,528",0,"8,161","23,537","26,436","29,380","37,333","32,188",,,,"158,866"
,2015,201,153,159,"7,730","21,037","30,123","39,219","31,261","23,692","22,766","6,827",464,"183,632"
,2014,268,171,738,"6,413","22,530","33,281","38,684","27,100","22,884","23,525","2,783",91,"178,468"
,2013,493,549,113,"9,729","32,783","40,767","67,917","61,793","46,823","11,067","13,238",229,"285,501"
,,,,,,,,,,,,,,
African Burial Ground NM (AFBG),2016,885,"2,146","3,817","4,763","5,329","5,345","6,516","6,516","1,623",,,,"36,940"
,2015,773,"1,829","1,529","6,121","7,348","6,603","9,079","7,111","6,042","6,516","1,998","1,399","56,348"
,2014,941,"1,662","1,901","8,446","8,612","6,858","8,187","5,522","3,657","5,495","1,780","1,800","54,861"
,2013,"4,680","4,533","5,806","7,917","12,068","12,533","11,970","11,597","8,622","5,561","5,074","2,873","93,234"
,,,,,,,,,,,,,,
Agate Fossil Beds NM,2016,79,161,405,485,"1,816","2,969","3,581","2,455","2,304",,,,"14,255"
,2015,102,114,361,524,"1,674","2,401","2,914","2,033","1,868",907,190,176,"13,264"
,2014,118,102,229,501,"1,493","2,162","2,922","2,193","1,839",561,137,183,"12,440"
,2013,126,92,292,268,"1,430","2,163","2,358","1,766","1,486",140,263,120,"10,504"
,,,,,,,,,,,,,,
Alibates Flint Quarries NM (ALFL),2016,192,261,819,832,725,753,806,,,,,,"4,388"
,2015,43,145,267,522,"1,273",890,891,877,"1,783","2,413",253,135,"9,492"
,2014,62,95,377,285,366,198,131,233,233,"2,413",67,53,"4,513"
,2013,35,63,243,243,220,167,151,132,96,67,85,53,"1,555"
,,,,,,,,,,,,,,
Allegheny Portage Railroad NHS (ALPO),2016,"9,748","9,399","15,865","16,409","16,826","16,487","20,469",,,,,,"105,203"
,2015,"8,997","7,036","12,251","24,312","13,590","16,645","19,693","16,264","14,574","14,589","9,609","10,873","168,433"
,2014,"9,540","9,938","10,003","12,224","15,837","15,399","24,512","16,712","17,649","17,737","13,401","9,931","172,883"
,2013,"6,372","4,601","6,410","10,919","12,406","15,023","12,978","10,884","11,918","2,962","7,579","5,925","107,977"
,,,,,,,,,,,,,,
Amistad NRA (AMIS),2016,"57,410","93,562","114,281","112,139","125,129","168,754","95,607","93,903",,,,,"860,785"
,2015,"51,947","68,422","164,977","138,736","159,638","123,653","154,850","105,738","89,812","74,683","52,373","65,222","1,250,051"
,2014,"68,555","85,032","103,882","152,777","115,719","135,531","127,008","98,563","61,090","84,320","42,446","55,173","1,130,096"
