,place,population
0,Acadia_NP_(ACAD),94154
1,Adams_NHP,670850
2,African_Burial_Ground_NM_(AFBG),1585873
3,Agate_Fossil_Beds_NM,1311
4,Alibates_Flint_Quarries_NM_(ALFL),121073
5,Allegheny_Portage_Railroad_NHS_(ALPO),143679
6,Andersonville_NHS_(ANDE),47559
7,Aniakchak_NM_&_PRES_(ANIA),1631
8,Antietam_NB_(ANTI),147430
9,Appomattox_Court_House_NHP_(APCO),14973
10,Arches_NP_(ARCH),9225
11,Arkansas_Post_NMEM_(ARPO),19019
12,Arlington_House_The_R.E._Lee_MEM_(ARHO),207627
13,Assateague_Island_NS_(ASIS),84618
14,Aztec_Ruins_NM_(AZRU),130044
15,Badlands_NP_(BADL),117565
16,Bandelier_NM_(BAND),293681
17,Bent's_Old_Fort_NHS_(BEOL),18831
18,Bering_Land_Bridge_NPRES_(BELA),17015
19,Big_Bend_NP_(BIBE),9232
20,Big_Cypress_NPRES_(BICY),4678251
21,Big_Hole_NB_(BIHO),9246
22,Big_South_Fork_NRRA_(BISO),85557
23,Bighorn_Canyon_NRA,34611
24,Biscayne_NP,2496435
25,Black_Canyon_of_the_Gunnison_NP,41276
26,Blue_Ridge_PKWY,1564260
27,Brown_v._Board_of_Education_NHS,177934
28,Brown_v._Board_of_Education_NHS_[larger],177934
29,Bryce_Canyon_NP,12297
30,Buffalo_NR,74691
31,Cabrillo_NM,3095313
32,Canyon_de_Chelly_NM,71518
33,Canyonlands_NP,42897
34,Cape_Cod_NS,215888
35,Cape_Hatteras_NS,39730
36,Cape_Lookout_NS,66469
37,Capitol_Reef_NP,39728
38,Capulin_Volcano_NM,4549
39,Carl_Sandburg_Home_NHS,106740
40,Carlsbad_Caverns_NP,53829
41,Casa_Grande_Ruins_NM,375770
42,Castillo_de_San_Marcos_NM,190039
43,Catoctin_Mountain_Park,380815
44,Cedar_Breaks_NM,46163
45,Cesar_E._Chavez_NM,839631
46,Chaco_Culture_NHP,201536
47,Chamizal_NMEM,800647
48,Channel_Islands_NP,1247213
49,Chesapeake_&_Ohio_Canal_NHP,1954315
50,Chiricahua_NM,131346
51,City_of_Rocks_NRES,22952
52,Colonial_NHP,65464
53,Crater_Lake_NP,377253
54,Craters_of_the_Moon_NM,57361
55,Curecanti_NRA,56600
56,Cuyahoga_Valley_NP,1821903
57,Dayton_Aviation_Heritage_NHP,161573
58,De_Soto_NMEM,322833
59,Death_Valley_NP,2098485
60,Delaware_Water_Gap_NRA,782903
61,Denali_NP_&_PRES,96409
62,Devils_Postpile_NM,150865
